state,x,y
Acre,-262.0,70.0
Alagoas,234.0,58.0
Amapá,2.0,219.0
Amazonas,-177.0,138.0
Bahia,140.0,22.0
Ceará,176.0,124.0
Espírito Santo,197.0,-78.0
Goiás,30.0,-36.0
Maranhão,94.0,123.0
Mato Grosso,-46.0,8.0
Mato Grosso Do Sul,-52.0,-90.0
Minas Gerais,108.0,-64.0
Pará,-10.0,132.0
Paraíba,240.0,96.0
Paraná,5.0,-156.0
Pernambuco,232.0,76.0
Piauí,124.0,84.0
Rio De Janeiro,158.0,-126.0
Rio Grande Do Norte,260.0,117.0
Rio Grande Do Sul,-4.0,-230.0
Rondônia,-146.0,30.0
Roraima,-135.0,238.0
Santa Catarina,56.0,-194.0
São Paulo,40.0,-119.0
Sergipe,220.0,40.0
Tocantins,50.0,44.0
